"Reference","Qty","Value","MPN","Price","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","Antenna","","","","","","","~"
"C1,C6","2","2.2uF","GRM033D80E225ME47D","1.10","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C2","1","10uF","KGM05CS60J106MH","3.19","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C3","1","10nF","GRM033R70J103JA01D","0.998","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C4,C8,C9,C10","4","100nF","KGM03AR70J104KH","3.6","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C5","1","2.2nF","GRM033R71A222KA01D","0.998","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C7","1","3.9pF","GCQ0335C1H3R9CB01D","1.19","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C11","1","1.5pF","GJM0335C1E1R5WB01J","0.998","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C12","1","2.0pF","GJM0335C1E2R0WB01D","1.19","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C13","1","0.3pF","GCQ0335C1HR30BB01D","1.19","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"C14,C16,C17","3","10uF","","","","","","","~"
"C15","1","2.2uF","","","","","","","~"
"C18","1","0.1uF","","","","","","","~"
"C19,C20","2","220pF","","","","","","","~"
"FB1","1","120","","","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"FB2,FB3","2","FerriteBead_Small","","","","","","","~"
"J2","1","Conn_01x03","","","","","","","~"
"L1","1","4.7uH","LQM18PN4R7MFRL","1.69","","","","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"L2","1","2.7nH","LQP03HQ2N7B02D","1.19","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"L3,L4","2","3.5nH","LQP03HQ3N5B02D","1.19","","","","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~"
"L5,L6","2","2.2uH","","","","","","","~"
"LS1","1","AS07104PO-R","","","","","","","~"
"NT1,NT2","2","Net Tie","","","","Excluded from BOM","","","~"
"R1","1","1M","","","","","","","~"
"R2","1","1k","RCA02011K00FNEDSR","0.998","","","","","~"
"U1","1","nRF54L15-QFAA","NRF54L15-QFAA-R7","23.08","","","","Ekse:QFN48_6X6_NOR",""
"U2","1","NPM1300-QEAA-R7","","","","","","Ekse:QFN32_5X5_NOR","https://docs.nordicsemi.com/bundle/nwp_050/page/WP/nwp_050/intro.html"
"U3","1","MAX98357A","","","","","","Ekse:TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","https://www.analog.com/media/en/technical-documentation/data-sheets/max98357a-max98357b.pdf"
"X1","1","32MHz","CX2016DB32000D0WZRC1","6.59","","","","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","~"
