Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0201,2,2.2uF,GRM033D80E225ME47D
"C10, C4, C8, C9",0201,4,100nF,KGM03AR70J104KH
C11,0201,1,1.5pF,GJM0335C1E1R5WB01J
C12,0201,1,2.0pF,GJM0335C1E2R0WB01D
C13,0201,1,0.3pF,GCQ0335C1HR30BB01D
"C14, C16, C17, C23, C24, C25",0603,6,10uF,KGM15CR51E106KT
C15,0603,1,2.2uF,GRM188Z71C225KE43D
"C18, C21, C22",0201,3,0.1uF,KGM03BR51E104KH
"C19, C20",0603,2,220pF,C0603C221J5RACTM
C2,0402,1,10uF,KGM05CS60J106MH
C26,0201,1,1.4pF,GCQ0335C1H1R4WB01D
C3,0201,1,10nF,GRM033R70J103JA01D
C5,0201,1,2.2nF,GRM033R71A222KA01D
C7,0201,1,3.9pF,GCQ0335C1H3R9CB01D
D1,APGF1012GBRC07,1,LED_RGBA,APGF1012GBRC-07
FB1,0201,1,120,MMZ0603Y121CT000
"FB2, FB3",0805,2,1000,BLM21SP102SN1D
J1,FTSH-105-XX-YYY-DV-K-P-TR,1,Conn_02x05_Odd_Even,FTSH-105-01-F-DV-K-P
J2,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
L1,0603,1,4.7uH,LQM18PN4R7MFRL
L2,0201,1,2.7nH,LQP03HQ2N7B02D
"L3, L4",0201,2,3.5nH,LQP03HQ3N5B02D
"L5, L6",INDC2016X100N,2,2.2uH,MLP2016V2R2MT0S1
LS1,VN02A1500000G,1,AS07104PO-R,AS07104PO-R
R1,0603,1,634k,CRCW0603634KDHTAP
R2,0201,1,1k,RCA02011K00FNEDSR
"R3, R4",0402,2,10k,CRCW040210K0FHEDP
"R5, R6",0201,2,150k,CRCW0201150KFKED
TP1,TestPoint_Pad_D1.0mm,1,VDD_nRF,
TP10,TestPoint_Pad_D1.0mm,1,VDD_AUDIO,
TP11,TestPoint_Pad_D1.0mm,1,SDA,
TP12,TestPoint_Pad_D1.0mm,1,SCL,
TP13,TestPoint_Pad_D1.0mm,1,BCLK,
TP14,TestPoint_Pad_D1.0mm,1,DOUT,
TP15,TestPoint_Pad_D1.0mm,1,LRCLK,
TP3,TestPoint_Pad_D1.0mm,1,DECA,
TP4,TestPoint_Pad_D1.0mm,1,SWDIO,
TP5,TestPoint_Pad_D1.0mm,1,SWDCLK,
TP6,TestPoint_Pad_D1.0mm,1,~{RESET},
TP8,TestPoint_Pad_D1.0mm,1,VSYS,
TP9,TestPoint_Pad_D1.0mm,1,GND,
U1,QFN-48_EP_6x6_Pitch0.4mm,1,nRF54L15-QFAA,NRF54L15-QFAA-R7
U2,QFN-32_EP_5x5_Pitch0.5mm,1,NPM1300-QEAA-R7,NPM1300-QEAA-R7
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,MAX98357A,MAX98357AETE+T
U4,12BHC186P1GR,1,12BHC186P1-GR,12BHC186P1-GR
X1,CX2016DB32000D0WZRC1,1,32MHz,CX2016DB32000D0WZRC1
X2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 kHz,CM8V-T1A-32.768kHz-9pF-20PPM-TB-QC
