Designator,Mid X,Mid Y,Rotation,Layer
AE1,174.460552,-111.723512,0.0,top
C1,160.138052,-96.470147,90.0,top
C10,161.218052,-106.725147,0.0,top
C11,163.738052,-102.005147,180.0,top
C12,165.818052,-102.88,270.0,top
C13,167.588052,-102.005147,90.0,top
C14,158.878052,-75.555147,180.0,top
C15,167.473052,-82.377097,0.0,top
C16,155.373052,-82.847097,0.0,top
C17,162.448052,-115.045147,90.0,top
C18,161.308052,-115.605147,90.0,top
C19,159.528052,-113.545147,0.0,top
C2,155.418052,-97.715,90.0,top
C20,159.518052,-112.015147,0.0,top
C21,161.448052,-107.945147,0.0,top
C22,161.298052,-83.875147,180.0,top
C23,157.238052,-78.005147,90.0,top
C24,157.668052,-80.990147,270.0,top
C25,167.473052,-80.367097,0.0,top
C26,171.858052,-103.175147,270.0,top
C3,159.248052,-98.340147,90.0,top
C4,156.678052,-98.725147,180.0,top
C5,164.173052,-101.275147,0.0,top
C6,158.348052,-98.495147,0.0,top
C7,163.738052,-103.085147,0.0,top
C8,163.168052,-99.400147,90.0,top
C9,155.458052,-104.640147,270.0,top
D1,162.718052,-75.065147,90.0,top
FB1,159.348052,-96.460147,270.0,top
FB2,156.268052,-111.285147,180.0,top
FB3,156.278052,-113.275147,180.0,top
J1,162.638052,-129.485147,270.0,top
J2,162.708052,-141.525147,270.0,top
L1,157.448052,-96.755147,180.0,top
L2,163.738052,-102.525,0.0,top
L3,164.953052,-102.525,0.0,top
L4,166.683052,-102.515,0.0,top
L5,155.178052,-80.887097,0.0,top
L6,155.218052,-77.975147,270.0,top
LS1,124.328052,-102.015147,270.0,top
R1,162.053052,-118.385147,180.0,top
R2,164.043052,-103.835147,0.0,top
R3,164.016952,-84.177097,270.0,top
R4,162.666952,-84.177097,270.0,top
R5,165.156952,-83.862097,90.0,top
R6,165.996952,-83.862097,90.0,top
U1,159.498053,-102.725001,0.0,top
U2,162.098052,-79.937097,0.0,top
U3,158.770552,-116.635147,0.0,top
U4,145.095,-100.0,270.0,top
X1,165.138052,-99.055,90.0,top
X2,154.718052,-100.695147,90.0,top
